Generation,Fitness
0,2677.5927995645566
7,2677.5927995645566
12,2676.932421423409
19,2620.4378342290443
39,2597.6217063630825
42,2580.5291694201037
51,2539.2708640878323
77,2523.3324297310096
82,2519.9587216436307
83,2485.506378283796
100,2470.2163605021265
137,2470.2163605021265
161,2466.994191902522
185,2439.454778188286
186,2424.8383498114054
200,2416.706183914775
223,2416.706183914775
244,2405.5574500520474
254,2380.700596732159
300,2377.60996828728
318,2377.60996828728
335,2347.3289614735468
389,2340.8904723173264
400,2306.234149386243
453,2306.234149386243
475,2304.2558013757775
500,2298.1457730070583
552,2298.1457730070583
590,2286.248833436009
600,2281.4623593743236
659,2281.4623593743236
661,2266.206036577182
668,2258.6874879372813
689,2228.1182804216114
700,2226.9248971141146
710,2226.9248971141146
750,2212.2935509581607
800,2209.577514070567
809,2209.577514070567
836,2188.5545058074854
842,2168.073664103944
847,2164.7273932495123
891,2154.7479047822353
900,2149.7229506593235
925,2149.7229506593235
994,2146.1766583895046
1000,2123.553507838611
1018,2123.553507838611
1076,2123.1087864045317
1100,2115.9731150490497
1133,2115.9731150490497
1140,2112.200262626206
1162,2111.0526156476535
1189,2102.5320854988386
1200,2096.535432777669
1235,2096.535432777669
1245,2077.819535343356
1300,2068.774786606539
1400,2068.774786606539
1500,2068.774786606539
1600,2068.774786606539
1678,2068.774786606539
1679,2067.2483355661507
1700,2055.8220484479452
1800,2055.8220484479452
1900,2055.8220484479452
1997,2055.8220484479452
2000,2055.3552370615307
2050,2055.3552370615307
2100,2048.7010869372466
2200,2048.7010869372466
2300,2048.7010869372466
2311,2048.7010869372466
2333,2038.7518039406111
2400,2036.567836301286
2500,2036.567836301286
2508,2036.567836301286
2600,2028.650347753905
2700,2028.650347753905
2724,2028.650347753905
2800,2028.4274558250358
2854,2028.4274558250358
2900,2024.2105421733206
2922,2024.2105421733206
2924,2024.108994231687
2995,2022.301492118965
3000,2020.4186067764092
3100,2020.4186067764092
3135,2020.4186067764092
3187,2014.5793168857233
3200,2007.5991819666096
3300,2007.5991819666096
3400,2007.5991819666096
3500,2007.5991819666096
3600,2007.5991819666096
3700,2007.5991819666096
3800,2007.5991819666096
3900,2007.5991819666096
3914,2007.5991819666096
4000,2001.6828681081242
4100,2001.6828681081242
4200,2001.6828681081242
4300,2001.6828681081242
4400,2001.6828681081242
4500,2001.6828681081242
4600,2001.6828681081242
4700,2001.6828681081242
4800,2001.6828681081242
4900,2001.6828681081242
5000,2001.6828681081242
5016,2001.6828681081242
5100,2000.2936258104894
5200,2000.2936258104894
5300,2000.2936258104894
5324,2000.2936258104894
5400,1995.3197741756603
5500,1995.3197741756603
5600,1995.3197741756603
5636,1995.3197741756603
5700,1993.3697637458213
5800,1993.3697637458213
5900,1993.3697637458213
6000,1993.3697637458213
6100,1993.3697637458213
6200,1993.3697637458213
6300,1993.3697637458213
6400,1993.3697637458213
6500,1993.3697637458213
6600,1993.3697637458213
6700,1993.3697637458213
6800,1993.3697637458213
6900,1993.3697637458213
7000,1993.3697637458213
7011,1993.3697637458213
7100,1988.6340649457268
7200,1988.6340649457268
7300,1988.6340649457268
7400,1988.6340649457268
7500,1988.6340649457268
7600,1988.6340649457268
7700,1988.6340649457268
7800,1988.6340649457268
7900,1988.6340649457268
8000,1988.6340649457268
8100,1988.6340649457268
8200,1988.6340649457268
8300,1988.6340649457268
8400,1988.6340649457268
8500,1988.6340649457268
8600,1988.6340649457268
8700,1988.6340649457268
8800,1988.6340649457268
8900,1988.6340649457268
9000,1988.6340649457268
9100,1988.6340649457268
9104,1988.6340649457268
9200,1985.102060459111
9300,1985.102060459111
9400,1985.102060459111
9500,1985.102060459111
9506,1985.102060459111
9600,1984.829369128427
9700,1984.829369128427
9800,1984.829369128427
9900,1984.829369128427
10000,1984.829369128427
10100,1984.829369128427
10200,1984.829369128427
10300,1984.829369128427
10400,1984.829369128427
10500,1984.829369128427
10600,1984.829369128427
10700,1984.829369128427
10800,1984.829369128427
